latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
39.194682,-75.550354,No,HS,EARLY COLLEGE HIGH SCHOOL AT DEL STATE,EARLY COLLEGE SCHOOL AT DEL STATE,DE,__mihi,N
39.293361,-75.638188,Yes,HS,FIRST STATE MILITARY ACADEMY,First State Military Academy,DE,____hi,Y
34.178658,-86.319462,Yes,HS,MARSHALL COUNTY,Douglas High School,AL,____hi,Y
39.449831,-75.692653,Yes,HS,APPOQUINIMINK SCHOOL DISTRICT,Middletown High School,DE,____hi,Y
34.7192,-86.7425,Yes,HS,MADISON CITY,Bob Jones High School,AL,____hi,Y
34.705886,-86.791802,Yes,HS,MADISON CITY,James Clemens High School,AL,____hi,Y
33.433574,-86.089689,No,HS,AL INST DEAF AND BLIND,ALABAMA SCHOOL FOR BLIND,AL,elmihi,HN
33.6612,-85.82,Yes,HS,ANNISTON CITY,Anniston High School,AL,____hi,Y
39.704197,-75.683986,No,HS,RED CLAY CONSOLIDATED SCHOOL DISTRICT,MEADOWOOD PROGRAM,DE,elmihi,N
38.644047,-75.442171,No,HS,SUSSEX TECHNICAL SCHOOL DISTRICT,SUSSEX TECHNICAL HIGH SCHOOL,DE,____hi,N
30.4198,-87.5998,Yes,HS,BALDWIN COUNTY,Elberta High School,AL,____hi,Y
30.498068,-87.8836,Yes,HS,BALDWIN COUNTY,Fairhope High School,AL,____hi,Y
31.868278,-85.44613,No,HS,BARBOUR COUNTY,Barbour County High School,AL,__mihi,N
32.9472,-87.1426,Yes,HS,BIBB COUNTY,Bibb County High School,AL,____hi,Y
33.747043,-85.686986,Yes,HS,CALHOUN COUNTY,White Plains High School,AL,____hi,Y
34.1638,-85.6587,Yes,HS,CHEROKEE COUNTY,Cherokee County High School,AL,____hi,Y
32.749,-86.5088,Yes,HS,CHILTON COUNTY,Verbena High School,AL,elmihi,Y
31.431297,-86.937172,No,HS,CONECUH COUNTY,Genesis Innovative School,AL,elmihi,N
31.590445,-86.255144,Yes,HS,CRENSHAW COUNTY,Brantley High School,AL,elmihi,Y
34.712183,-85.675401,Yes,HS,DEKALB COUNTY,Ider School,AL,elmihi,Y
32.6338,-86.0296,Yes,HS,ELMORE COUNTY,Elmore County High School,AL,____hi,Y
33.995108,-86.037233,Yes,HS,GADSDEN CITY,Gadsden City High School,AL,____hi,Y
33.4605,-86.7905,Yes,HS,HOMEWOOD CITY,Homewood High School,AL,____hi,Y
33.7881,-85.7784,Yes,HS,JACKSONVILLE CITY,Jacksonville High School,AL,__mihi,Y
33.658482,-86.699674,Yes,HS,JEFFERSON COUNTY,Center Point High School,AL,____hi,Y
32.309751,-87.797303,Yes,HS,LINDEN CITY,Linden High School,AL,____hi,Y
32.4006,-85.7336,Yes,HS,MACON COUNTY,Booker T Washington High,AL,____hi,Y
34.02702,-87.762709,Yes,HS,MARION COUNTY,Brilliant School,AL,elmihi,Y
34.280192,-87.833809,Yes,HS,MARION COUNTY,Hackleburg High School,AL,__mihi,Y
33.450742,-86.915913,Yes,HS,MIDFIELD CITY,Midfield High School,AL,____hi,Y
30.6072,-88.0735,Yes,HS,MOBILE COUNTY,Ben C Rain High School,AL,____hi,Y
32.3432,-86.2626,Yes,HS,MONTGOMERY COUNTY,Johnson Abernathy Graetz High School,AL,____hi,Y
33.276126,-86.869538,Yes,HS,SHELBY COUNTY,Helena High School,AL,____hi,Y
33.703272,-86.370328,Yes,HS,ST CLAIR COUNTY,Saint Clair County High School,AL,____hi,Y
33.4915,-86.1602,Yes,HS,TALLADEGA COUNTY,Talladega County Central High,AL,__mihi,Y
31.8857,-87.7367,Yes,HS,THOMASVILLE CITY,Thomasville High School,AL,____hi,Y
33.1982,-87.5491,Yes,HS,TUSCALOOSA CITY,Central High School,AL,____hi,Y
33.3078,-87.6084,Yes,HS,TUSCALOOSA COUNTY,Tuscaloosa County High School,AL,____hi,Y
31.46182,-88.251362,Yes,HS,WASHINGTON COUNTY,Washington County High School,AL,elmihi,Y
34.079762,-87.213166,Yes,HS,WINSTON COUNTY,Meek High School,AL,elmihi,Y
30.28955,-87.618274,Yes,HS,ORANGE BEACH CITY,Orange Beach Middle/High School,AL,__mihi,Y
38.86992,-76.982691,Yes,HS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Anacostia Senior High School,DC,____hi,Y
38.914918,-77.004311,Yes,HS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,McKinley Technical High School,DC,____hi,Y
38.862333,-76.993789,Yes,HS,THURGOOD MARSHALL ACADEMY PCS,Thurgood Marshall Academy Public Charter School,DC,____hi,Y
38.899256,-77.02259,No,HS,GIRLS GLOBAL ACADEMY PCS,GIRLS GLOBAL ACADEMY PCS,DC,____hi,N
28.519102,-81.467897,Yes,HS,FL VIRTUAL,Florida Virtual School Full-Time,FL,____hi,Y
29.680505,-82.434024,No,HS,ALACHUA,Santa Fe College High School Dual Enrollment,FL,____hi,N
30.1665,-85.6158,Yes,HS,BAY,Rutherford High School,FL,__mihi,Y
30.179513,-85.680762,Yes,HS,BAY,Central High School,FL,____hi,Y
26.0462,-80.198,Yes,HS,BROWARD,Hollywood Hills High School,FL,____hi,Y
25.976179,-80.261758,Yes,HS,BROWARD,Miramar High School,FL,____hi,Y
26.031518,-80.19799,Yes,HS,BROWARD,Sheridan Technical High School,FL,____hi,Y
25.9701,-80.3743,Yes,HS,BROWARD,Everglades High School,FL,____hi,Y
26.246587,-80.183665,Yes,HS,BROWARD,Broward Virtual Franchise,FL,__mihi,Y
28.907059,-82.579975,No,HS,CITRUS,Crystal River High School,FL,el__hi,N
28.818469,-82.49719,No,HS,CITRUS,Srmi @ Renaissance Center,FL,elmihi,N
26.2956,-81.5776,Yes,HS,COLLIER,Palmetto Ridge High School,FL,____hi,Y
25.5712,-80.3305,No,HS,MIAMI-DADE,Cutler Bay Senior High School,FL,____hi,N
25.8952,-80.3073,Yes,HS,MIAMI-DADE,Hialeah-Miami Lakes Senior High,FL,____hi,Y
25.839,-80.214,Yes,HS,MIAMI-DADE,Miami Northwestern Senior High,FL,____hi,Y
