State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,00190,Alabaster City School District,"34,832","6,631",702
AL,01,00005,Albertville City School District,"23,117","4,825","1,042"
AL,01,00030,Alexander City City School District,"16,821","2,691",632
AL,01,00060,Andalusia City School District,"8,937","1,502",424
AL,01,00090,Anniston City School District,"21,578","2,949","1,105"
AL,01,00100,Arab City School District,"8,740","1,562",242
AL,01,00120,Athens City School District,"28,171","4,335",502
AL,01,00180,Attalla City School District,"5,816",986,280
AL,01,00210,Auburn City School District,"80,418","11,065","1,132"
AL,01,00240,Autauga County School District,"60,342","10,472","1,722"
AL,01,00270,Baldwin County School District,"228,058","37,231","4,792"
AL,01,00300,Barbour County School District,"12,029","1,390",492
AL,01,00330,Bessemer City School District,"25,596","4,301","1,647"
AL,01,00360,Bibb County School District,"21,868","3,179",649
AL,01,00390,Birmingham City School District,"197,236","26,932","9,766"
AL,01,00420,Blount County School District,"52,798","9,140","1,411"
AL,01,00012,Boaz City School District,"10,395","2,012",358
AL,01,00450,Brewton City School District,"5,247",860,232
AL,01,00480,Bullock County School District,"9,897","1,523",566
AL,01,00510,Butler County School District,"18,382","3,046","1,054"
AL,01,00540,Calhoun County School District,"54,858","9,264","1,899"
AL,01,00600,Chambers County School District,"27,248","4,105",893
AL,01,00630,Cherokee County School District,"25,666","3,581",717
AL,01,00188,Chickasaw City School District,"6,408","1,142",377
AL,01,00660,Chilton County School District,"46,431","8,316","1,576"
AL,01,00690,Choctaw County School District,"12,252","1,769",575
AL,01,00720,Clarke County School District,"17,359","2,738",778
AL,01,00750,Clay County School District,"14,111","2,174",489
AL,01,00780,Cleburne County School District,"15,387","2,671",518
AL,01,00810,Coffee County School District,"21,408","3,782",677
AL,01,00840,Colbert County School District,"22,936","3,408",656
AL,01,00870,Conecuh County School District,"11,174","1,647",686
AL,01,00900,Coosa County School District,"10,268","1,220",336
AL,01,00930,Covington County School District,"22,175","3,585",586
AL,01,00960,Crenshaw County School District,"13,101","2,276",597
AL,01,00990,Cullman City School District,"17,976","2,979",449
AL,01,01020,Cullman County School District,"74,010","12,346","2,430"
AL,01,01050,Dale County School District,"15,720","2,610",478
