Agency Name,Agency ID,County Number,State Name,State Abbr,Grades 9-12 Students [District] 2023-24,Male Students [District] 2023-24,Female Students [District] 2023-24,American Indian/Alaska Native Students [District] 2023-24,Asian or Asian/Pacific Islander Students [District] 2023-24,Hispanic Students [District] 2023-24,Black or African American Students [District] 2023-24,White Students [District] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [District] 2023-24,Two or More Races Students [District] 2023-24,Pupil/Teacher Ratio [District] 2023-24,Full-Time Equivalent (FTE) Teachers [District] 2023-24,Total Staff [District] 2023-24,Librarians/media specialists [District] 2023-24,Media Support Staff [District] 2023-24,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,Diploma Recipients & Other Completers [District] 2022-23
21ST CENTURY CHARTER SCH OF GARY,1800046,18097,Indiana,IN ,408,583,630,0,0,52,1130,3,0,28,12.13,100,204.5,0,0,190000,11901000,2870000,11836,71
21ST CENTURY CYBER CS,4200091,42029,Pennsylvania,PA ,900,482,621,0,4,38,49,997,2,13,21.44,51.45,132.2,0,0,36150000,33000,265000,14562,270
21ST CENTURY PUBLIC ACADEMY,3500187,35001,NEW MEXICO,NM ,†,200,178,12,6,26,28,306,0,0,11.63,32.5,50.2,–,–,375000,3533000,211000,11735,†
A E R O  SPEC EDUC COOP,1700024,17031,Illinois,IL ,†,†,†,†,†,†,†,†,†,†,–,56.45,251.95,–,–,30321000,6643000,2194000,†,†
A W BEATTIE CAREER CENTER,4280010,42003,Pennsylvania,PA ,5,2,3,0,0,0,0,5,0,0,0.15,34,74,0,0,8412000,1800000,515000,†,0
A W BROWN LEADERSHIP ACADEMY,4800095,48113,Texas,TX ,†,364,414,0,0,36,716,1,2,23,19.49,39.91,77.82,0,0,555000,12250000,4018000,12164,†
A+ ACADEMY,4800203,48113,Texas,TX ,471,853,796,0,6,1544,57,32,0,10,16.25,101.45,249.28,0,0,163000,15066000,2692000,12308,96
A+ ARTS ACADEMY,3900305,39049,Ohio,OH ,†,193,173,0,0,11,332,3,0,20,9.63,38,71,0,0,90000,4645000,1742000,11587,†
A+ CHARTER SCHOOLS (1000166),0400998,04021,ARIZONA,AZ ,224,167,139,4,5,133,40,109,1,14,–,–,–,–,–,44000,1569000,330000,11920,23
A+ CHILDREN'S ACADEMY,3901480,39049,Ohio,OH ,†,50,37,0,3,5,28,41,2,8,17.4,5,12,0,0,133000,1026000,42000,11018,†
A+ UNLIMITED POTENTIAL,4801453,48201,TEXAS,TX ,†,63,87,0,0,57,82,4,1,6,14.61,10.27,17.37,0,0,539000,1676000,209000,15947,†
A-C CENTRAL CUSD 262,1700105,17017,Illinois,IL ,106,167,161,0,0,7,2,312,0,7,9.51,34.5,97.2,0.2,–,3594000,3438000,589000,19441,28
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,5100033,51191,Virginia,VA ,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,–,–,–,†,†
A.C.E. ACADEMY,3700372,37025,North Carolina,NC ,†,224,214,0,6,66,325,4,0,37,14.94,29.32,75.4,1,0,965000,2582000,353000,9848,†
A.C.G.C. PUBLIC SCHOOL DISTRICT,2700106,27093,Minnesota,MN ,263,473,407,5,1,108,1,731,0,34,13.82,63.67,123.33,0,1.36,3343000,9576000,1759000,16891,53
A.E. PHILLIPS LABORATORY SCHOOL,2200056,†,Louisiana,LA ,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,–,–,0,†
ABBEVILLE 60,4500690,45001,South Carolina,SC ,817,1479,1322,9,10,71,916,1710,2,83,13.17,212.8,469.95,7.6,1,11632000,23684000,5755000,14046,199
ABBOTSFORD SCHOOL DISTRICT,5500030,55019,Wisconsin,WI ,248,426,389,0,6,517,5,275,0,12,19.65,41.48,96.67,0.3,1.44,3691000,7745000,1378000,16861,58
ABBOTT ISD,4807380,48217,Texas,TX ,76,162,122,0,0,43,3,231,0,7,11.63,24.43,44.47,0,0,1598000,2514000,167000,15617,19
ABBOTT UNION FREE SCHOOL DISTRICT,3602300,†,New York,NY ,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),2500051,25027,Massachusetts,MA ,338,648,773,6,42,331,807,169,1,65,11.28,125.93,198.96,0.04,4,20555000,4436000,2049000,18975,88
ABC UNIFIED,0601620,06037,California,CA ,6089,9293,8782,36,6377,8230,1271,859,99,1203,23.1,782.8,1673.76,0,0,66246000,208716000,23955000,15298,1504
ABERDEEN DISTRICT,1600030,16011,Idaho,ID ,223,327,316,2,1,416,8,208,2,6,13.98,46,90.43,0,0.99,1824000,5395000,1405000,12535,51
ABERDEEN SCHOOL DIST,2800360,28095,Mississippi,MS ,326,480,485,0,2,0,921,26,0,16,11.58,83.3,191.56,2.17,–,6130000,6239000,2828000,14058,77
ABERDEEN SCHOOL DISTRICT,5300030,53027,Washington,WA ,1140,1637,1636,76,34,1204,45,1676,6,232,17.95,182.37,388.53,0,0,7061000,40092000,7226000,16439,155
