latitude,longitude,Offers CS?,School District Name,School Name,State,Agency ID,State Abbr,Grades 9-12 Students [District] 2023-24,Male Students [District] 2023-24,Female Students [District] 2023-24,American Indian/Alaska Native Students [District] 2023-24,Asian or Asian/Pacific Islander Students [District] 2023-24,Hispanic Students [District] 2023-24,Black or African American Students [District] 2023-24,White Students [District] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [District] 2023-24,Two or More Races Students [District] 2023-24,Pupil/Teacher Ratio [District] 2023-24,Full-Time Equivalent (FTE) Teachers [District] 2023-24,Total Staff [District] 2023-24,Librarians/media specialists [District] 2023-24,Media Support Staff [District] 2023-24,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,Diploma Recipients & Other Completers [District] 2022-23,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
34.178658,-86.319462,1,MARSHALL COUNTY,Douglas High School,AL,0100006,AL,1755,3127,2913,35,37,1800,84,3996,7,81,16.94,356.45,644.95,12,0,14816000,43954000,13429000,12539,401,"50,814","9,175","1,803"
39.449831,-75.692653,1,APPOQUINIMINK SCHOOL DISTRICT,Middletown High School,DE,1000080,DE,3824,6658,6287,67,1438,1246,3720,5767,20,687,14.78,876,1590.91,10,0,64977000,181778000,8859000,21455,852,"70,781","14,343",831
34.7192,-86.7425,1,MADISON CITY,Bob Jones High School,AL,0100008,AL,4089,6529,6207,47,1144,1147,2452,7043,22,881,17.08,745.7,1227.47,12,12,67437000,85046000,16719000,14334,993,"61,043","12,952",729
34.705886,-86.791802,1,MADISON CITY,James Clemens High School,AL,0100008,AL,4089,6529,6207,47,1144,1147,2452,7043,22,881,17.08,745.7,1227.47,12,12,67437000,85046000,16719000,14334,993,"61,043","12,952",729
33.6612,-85.82,1,ANNISTON CITY,Anniston High School,AL,0100090,AL,480,992,917,0,3,92,1620,89,0,105,18.41,103.67,198.27,4.5,0,8080000,12593000,6800000,14475,101,"21,578","2,949","1,105"
39.704197,-75.683986,0,RED CLAY CONSOLIDATED SCHOOL DISTRICT,MEADOWOOD PROGRAM,DE,1001300,DE,3487,7476,7070,41,682,4329,3461,5439,12,582,13.61,1068.9,2116.83,19,0,130216000,165818000,24830000,21310,898,"141,890","21,605","3,061"
30.4198,-87.5998,1,BALDWIN COUNTY,Elberta High School,AL,0100270,AL,9773,16351,15467,102,319,4305,3530,20903,20,2639,16.12,1973.33,3835.45,41.5,9.36,223706000,183848000,42447000,14896,2056,"228,058","37,231","4,792"
30.498068,-87.8836,1,BALDWIN COUNTY,Fairhope High School,AL,0100270,AL,9773,16351,15467,102,319,4305,3530,20903,20,2639,16.12,1973.33,3835.45,41.5,9.36,223706000,183848000,42447000,14896,2056,"228,058","37,231","4,792"
31.868278,-85.44613,0,BARBOUR COUNTY,Barbour County High School,AL,0100300,AL,188,336,343,1,0,94,516,58,0,10,19.4,35,79,3,0,2255000,4864000,3219000,15048,28,"12,029","1,390",492
32.9472,-87.1426,1,BIBB COUNTY,Bibb County High School,AL,0100360,AL,848,1607,1470,4,6,215,666,2097,0,89,17.24,178.5,371,7.5,0,8065000,24990000,5523000,12377,183,"21,868","3,179",649
33.747043,-85.686986,1,CALHOUN COUNTY,White Plains High School,AL,0100540,AL,2451,4138,3883,18,47,533,1109,6096,24,194,16.34,490.8,949.2,16,11,23453000,60713000,12619000,11943,586,"54,858","9,264","1,899"
34.1638,-85.6587,1,CHEROKEE COUNTY,Cherokee County High School,AL,0100630,AL,1148,2034,1883,14,7,142,148,3482,6,118,17.37,225.48,458.11,7,0,12960000,28010000,8964000,13027,254,"25,666","3,581",717
32.749,-86.5088,1,CHILTON COUNTY,Verbena High School,AL,0100660,AL,2340,3999,3931,11,34,1621,823,5103,1,337,18.27,434,782,12,0,14462000,54187000,16970000,11112,479,"46,431","8,316","1,576"
31.431297,-86.937172,0,CONECUH COUNTY,Genesis Innovative School,AL,0100870,AL,511,709,702,1,2,59,1028,289,1,31,20.06,70.35,176.27,5.5,1,3649000,13773000,3619000,12683,115,"11,174","1,647",686
31.590445,-86.255144,1,CRENSHAW COUNTY,Brantley High School,AL,0100960,AL,619,1101,987,2,23,95,646,1236,0,86,14.67,142.31,299.51,3,0,5326000,16818000,6150000,12797,141,"13,101","2,276",597
34.712183,-85.675401,1,DEKALB COUNTY,Ider School,AL,0101140,AL,2579,4527,4177,924,33,3007,77,4535,0,128,15.8,551,999.54,13,0,17977000,77579000,17157000,13221,571,"57,492","10,248","2,521"
32.6338,-86.0296,1,ELMORE COUNTY,Elmore County High School,AL,0101290,AL,3639,6094,5726,31,73,685,3082,7429,6,514,19,622,1222,15,5,31589000,87778000,27897000,12784,827,"82,705","13,462","2,097"
33.995108,-86.037233,1,GADSDEN CITY,Gadsden City High School,AL,0101620,AL,1309,2446,2426,29,34,1056,2184,1451,2,116,16.33,298.26,531.46,10.5,0,13743000,34962000,13827000,12907,273,"33,885","5,394","1,745"
33.4605,-86.7905,1,HOMEWOOD CITY,Homewood High School,AL,0101760,AL,1308,2269,2195,6,89,463,681,3064,1,160,14.22,313.9,579.15,5,3,38253000,26281000,4825000,16514,286,"25,951","4,412",330
33.7881,-85.7784,1,JACKSONVILLE CITY,Jacksonville High School,AL,0101860,AL,532,844,873,1,15,108,524,912,0,157,17.61,97.5,174.23,2,1,5130000,11320000,2704000,11580,104,"14,384","1,667",366
33.658482,-86.699674,1,JEFFERSON COUNTY,Center Point High School,AL,0101920,AL,11663,18334,17337,52,145,5164,18518,10898,22,872,17.7,2015.1,3404.6,59,0,133013000,249920000,70779000,12840,2570,"236,837","40,887","8,388"
32.309751,-87.797303,1,LINDEN CITY,Linden High School,AL,0102130,AL,126,217,189,0,0,7,379,16,0,4,12.79,31.75,63.75,1.5,0,1187000,4125000,1367000,13305,41,"3,971",616,206
